Rank,First Name,Last Name,Team,Position(s),Runs,Home Runs,RBIs,Average,Steals,Wins,Losses,ERA,WHIP,Strikeouts,Saves,Blurb
11,Carlos,Gonzalez,,OF,100,28,102,0.307,19,,,,,,,"This tier started in the top 10 for 2013 fantasy baseball.  This tier ends at Jones.  I call this tier, ñI really like these guys.  Question marks be damned.î  I could have also called this tier, ñIÍm hoping for big things from guys in the prime of their career, previous setbacks be damned.î  Previous Setbacks, ñWell, damn you right back!î  CarGo doesnÍt stay healthy for whole seasons, but heÍs still only 27 years old.  HeÍs good for 135 games and a 20/20 season.  The rest of it is icing on the cake.  HereÍs hoping for a season with a lot of icing and his owners needing their insulin."
12,Evan,Longoria,,3B,89,32,107,0.283,5,,,,,,,"Like Baby Jessica, eventually we have to stop going to this well.  I'll be the first to admit that if Longoria has a poor season in 2013, he's gonna fall far in 2014, like, six to seven rounds later.  Still, I refuse to write off a 27-year-old with MVP potential.  He wasn't bad last year.  He was hurt.  I know, over-the-internet friend.  He's always hurt.  As late as November, he had an operation on his hamstring, the same hammy that plagued him last year.  He says he's fine now.  He just needs to stay healthy.  That is the only thing stopping him.  If you prorate his 2012 over a full year, he had a solid year.  A 32-homer, 100+ RBI, .285 season.  3rd base is a wasteland after the top eight, and even some of those (Wright, Hanley, Headley, Zimmerman, Aramis) aren't without their question marks.  Beltre was conspicuously absent from that list, but I'll get to him quicker than you can say, ""You have Longoria above Beltre?!""  As I said in my <a href=""http://razzball.com/todd-frazier-2013-fantasy-sleeper/"">Todd Frazier sleeper</a> post, there's a lot of late, terrible 3rd basemen.  If you're gambling on Hanley bouncing back, that's a different problem.  If you're gambling on Aramis not emitting a stank smell, that's a different issue.  If you're gambling on Zimmerman and Headley, they're a whole set of other problems.  I'll take the gamble on Longoria's health first.  Now if he's having hamstring issues in the spring... Well, we'll cross that bridge when we come to it, presumably on crutches."
13,Adam,Jones,,OF,90,34,100,0.284,15,,,,,,,"I almost put Jones in the top ten and Justin Upton here.  I lurve 27-year-old hitters entering their prime.  Big time lurve.  My lurve doesn't have a painting of the Mona Lisa, it has a painting of Adam Jones.  Here's what we know for absolutely sure.  Over the past two seasons, he's averaging 28 homers, 14 steals, .284 average and 156 games.  He is now in the prime of his career.  Even if we only got an ""average"" year from him, you have a number one outfielder.  There's no weird injury issues.  He had a flukey wrist injury in June and his power was zapped for two-plus months.  In September, his power returned with six homers for the month.  No odd spikes in K-rate or ground balls or BABIP.  His line drive rate went up last year and, when he hit homers, only six of them were ""Just Enough"" out of 32.  The only thing that hurt his value last year were his 82 RBIs.  You and I -- hey, pal! -- both know that RBIs have nothing to do with him."
14,Matt,Kemp,,OF,88,25,100,0.294,19,,,,,,,"This is a new tier.  This tier goes from here until A-Gon.  I call this tier, ""Eff me in the coolie, why do I have so many concerns this early?!""  Kemp couldn't swing a bat until January due to a shoulder injury after he had surgery in October to reattach his labrum.  Here I thought reattaching a labrum was something you'd hear about in a Breaking Amish reunion special.  After the surgery, Kemp said, ""I was definitely surprised and disappointed.""  &lt;sarcastic&gt;This sounds awesome!&lt;/sarcastic&gt; I think he'll probably be his old-new-old self by late-May, and wouldn't be surprised to see him put up numbers similar to last year.  Unfortunately, his numbers last year were solid, but not spectacular.  It's a bit sucky that I'm going to miss out on his special brand of speed/power/handsomeness, but, with where I have him ranked, I probably won't be owning him in 2013."
15,Josh,Hamilton,,OF,92,29,109,0.277,7,,,,,,,"I went over my <a href=""http://razzball.com/la-sick-of-just-angels-in-the-outfield/"">Josh Hamilton 2013 fantasy</a> when he signed with the Angels.  I wrote it while counting Arte Moreno's checkbook zeroes."
16,Adrian,Beltre,,3B,82,28,103,0.281,2,,,,,,,"The argument against my ranking of Beltre vs. Longoria is obvious.  I am counting on a guy with burgeoning skills but health problems rather than a guy who looks like he could decline, but has been terrific the last two years.  I'm going with the injury risk over the guy who will be 34 years old on April 7th.  Beltre is admittedly a tough call for a few reasons.  His Texas home run per fly ball rates are above his career average, but he's also in Arlington and not Dodger Stadium or Safeco.  He has been injured in the past, but one was of the <a href=""http://razzball.com/fantasy-baseball-terms/#Jockular_Sphincteritis"">Jockular Sphincteritis</a> variety when a ball clipped his testicles, which sounds like an injury that would happen to a labradoodle.  Stop licking your wound!  That injury was of no fault of his (if it was his fault, he should see a shrink), so it's a bit too fluky to say he's injury-prone.  Also, care of <a href=""http://baseballheatmaps.com/"" target=""_blank"">baseballheatmaps.com</a> (a site you could get lost in for about an hour before you even start making sense of it; that's a compliment), Beltre's average home run went from 294.75 feet in 2010 to 287.6 feet in 2012, losing distance every year.  To continue the Longoria comparison, his 2011 distance was 287.5 and 2012 it was 295.3.  If Beltre reverts to his career mark in HR/FB% and he loses another few feet on his homers, you're going to have him go from a 32-35 homer guy to a 26-29 homer guy.  Then where do balls go if they're not leaving the park?  In outfielders' gloves.  If that happens, does he start hitting more ground balls?  He has in years past.  This isn't saying stay away from Beltre, but he's later on my draft board than I've seen him elsewhere."
17,Ian,Kinsler,,2B,102,25,77,0.258,20,,,,,,,"Someone in this tier, if not the whole tier, will fail.  I trust Kinsler as far as I can throw him.  And I'm one hundred and sixty pounds soaking wet, and have been to the gym three times in my life; each time to sign up for a one-year membership that I never used.  I can't throw Jose Altuve!  Between Kinsler and Nelson Cruz, the Rangers could do an off-Broadway adaption of M.A.S.H.  (It's the cross-dressing, Corporal Kinsler.), and that's the bulk of the Rangers offense.  Last year, Kinsler's HR/FB rate went into the toilet, but it seems to happen every other year, which leads him to hit 30+ homers every odd year.  He's second base's equivalent to Prince Fielder.   Call him Kingsler."
18,Jose,Bautista,,OF,91,32,100,0.272,5,,,,,,,"Nothing in his line from last year looks necessarily bad if you account for bad luck.  According to out <a href=""http://razzball.com/playerrater-babipvavg/"">Expected Average Chart</a>, he should've hit .281.  The power was there as it's been.  Unfortunately, he had wrist surgery and wasn't able to swing a bat until November.  He says, I feel ""great"" and his strength is ""coming back quickly"" and the chicken parm is ""like Mama used to make.""  Hey, Bautista should work for Zagat.  I expect he'll be fine, but there's a chance he has a setback and you lose him for the year."
19,Paul,Goldschmidt,,1B,84,29,104,0.274,12,,,,,,,"His 2012 reminds me of random middle infielder year like Asdrubal's 2011 or Aaron Hill's every fourth year he produces.  AuShizz had no business stealing 18 bags last year, and had every right to hit about ten more home runs than his 20 homer total.  For those that missed our <a href=""http://razzball.com/the-razzball-podcast-the-one-where-we-call-it-a-wrap-for-the-season-and-interview-steve-garvey/"">Steve Garvey interview</a>, Goldschmidt was the one guy Rudy and I agreed on that we are crazy excited about for thirteen after twenty.  His park is a solid hitters' stadium -- that's assuming the Diamondbacks don't trade away Goldschmidt because he has a Germanic last name -- ""Be gone, Krauts!""  That's Kevin Towers. -- and Paul has great upside.  Something that is not easy to find early in the 1st basemen rankings.  Out of this tier, I'm most excited about drafting Goldschmidt.   After this year, he'll be on everyone's radar."
20,Adrian,Gonzalez,,"1B, OF",86,29,112,0.292,1,,,,,,,"Unlike Te(i)x, Konerko, Howard and other aging 1st basemen, I think A-Gon still has something left to give.  Oh, no, Rappin' Grey!  ""A-Gon's old like a reference to Minnie Pearl, coming off a disappointing year... Some things never go out like your preference for jheri curl and calling Montana God's Country and New Jersey God's Rear... A-Gon's still filled with diesel in that tank, no biggie... Maybe he needs Stoli and pineapple juice like Frank the Tank and Miggy...""  A-Gon's line drive rate went up to a career high in 2012 and his fly balls were normal.  His HR/FB rate was in the dumper.  He should've hit 27 homers last year.  His walk rate that has been on decline for the last three years hit a new low in 2012 at 6.1%.  For a guy that had a walk rate of 17.5% as recently as 2009, that's hideous.  Since he's only going to be 31 years old in May, I think he can hold his line drive rate and rebound a bit with his walks.  The homers will definitely rebound.  Remember, we are drafting for 2013, not for the mistakes you made in 2012.  Edwin Encarnacion was great last year, but unless you're driving a DeLorean to your fantasy draft that means absolutely nothing."
21,Justin,Verlander,,SP,,,,,,20,7,2.71,1.03,234,0,"This is the first tier.æ This tier goes from here until Felix Hernandez.æ I call this tier, ""These guys are the best.æ I will enjoy missing out on them."" There's a huge caveat to this tier below in Strasburg's blurb.æ Verlander will definitely be drafted before I'm looking at starters.æ He's terrific, fantastic, adjective!æ I don't care.æ Last year, I drafted one starter in the top 100 in the RCL and I had 57 out of a possible 60 pitching points.æ Guys and four girls, you don't need a top starter."
22,Troy,Tulowitzki,,SS,83,25,98,0.288,7,,,,,,,"This is a new tier.  This tier ends at Hanley.  I call this tier, ""These guys could be a'ight, but I won't own them because I'm drafting corner men or outfielders early.""  If you draft Tulowitzki, you'll probably lose your league.  Whether he stays healthy and produces or not.  The absolute best year I can expect from him is 30 homers, 12 steals and a .300 average.  Before you say he could do much better, he could, and aliens could land on Earth and make me ruler of the planet because they appreciate a good mustache.  I don't expect that to happen, just as I don't expect Tulo to match the best season of his career.  But let's assume as the new ruler of the planet I can make Tulo have a good season because with my new position as ruler, I have telekinetic power and they call me The Rainmaker and when I use my TK the only thing I'm interested in is Tulo hitting well but not the implications of time travel.  But as ruler of the planet, I also technically own every fantasy team so the victory is all mine.  Now, if I'm not ruler of the planet and Tulo has to go it alone, he will miss at least twenty games and disappoint yet again."
23,Jose,Reyes,,SS,110,12,60,0.285,40,,,,,,,"I already went over my <a href=""http://razzball.com/get-discounted-players-with-miamitrade/"">Jose Reyes 2013 fantasy</a>.  I wrote it in while dusting inside my bubble."
24,Dustin,Pedroia,,2B,90,17,100,0.291,20,,,,,,,"This is a new tier.  This tier goes from here until Seager.  I call this tier, ""This is your only chance for a decent 2nd baseman, but you do have about ten to choose from, so there's that.""  The good news and bad news are wrapped up tightly into a little bow for Pedroia.  He tends to play so balls to the wall like a deleted scene from Porky's that he misses games here and there or plays hurt, but he also gets his stats.  Since his first full year, only in 2010 did he fail to crack 15 homers and 20 steals.  You don't get the <a href=""http://razzball.com/fantasy-baseball-terms/#Sparky_Anklebiter"">Sparky Anklebiter</a> label without some grit, stick-to-itiveness and I-fink-U-freeky-and-I-like-U-a-lot-ishness."
25,Matt,Holliday,,OF,92,26,100,0.304,5,,,,,,,"Phew!  I wasn't sure if I would ever get out of those other already-projected outfielders.  Oh, man, you made it here, but there's still some people clicking the links above.  We have to wait for them.  *scratches chin, makes a burping sound with hand under armpit, downloads a song by King Fantastic*  Okay, we need to move on.  They'll catch up.  This is a new tier.  This tier goes from here until Heyward.  I call this tier, ""You're still getting a top outfielder, but these young brothers have a few more issues.""  Well, not <em>young</em> young.  Hey, Matt Holliday!  He's been a top fifteen outfielder for the last five years minus 2011.  If you're predicting a step backwards like Kanye's last album, you're just guessing.  BTW, in ten years, we'll see the moment that Kanye rhymed ""visit"" with ""Scott Disick"" as the point when he began the slow, inevitable creative decline.  Someone getting their Master's in something useful like Urban Studies of the Modern Hip-Hop Man is probably writing a thesis on this.  A chapter title in their thesis is, ""Kim K. Needs to be Stopped, Can't Amber Rose Put Wiz On Hold and Throw Kanye a Bone?"""
26,Stephen,Strasburg,,SP,,,,,,18,6,2.77,1.05,227,0,"It will take every bit of willpower to resist my urge to draft Strasburg this year.æ I've seen him lower than the second starter overall and I almost ranked him first, so you can see how much I like him.æ If he falls to the 5th through 10th starter off the board, I may just bite.æ Verlander, Price and Kershaw have nowhere to go but down.æ Strasburg has nowhere to go but up.æ As frustrating as it was to watch Strasburg get shut down last September, 2013 owners will reap the rewards.æ He could pitch 220 innings with a 10+ K-rate.æ That is the most beautiful sentence in the English language.æ Followed closely by, ""I am Kate Upton and I want to have sex with you then afterwards The Barefoot Contessa will make us meatloaf.""æ So, basically, I'm telling you not to draft the first five starters under any circumstances, but if Strasburg is still on the board around the 6th starter, I ain't hatin', I'm liberatin'!"
27,Ryan,Zimmerman,,3B,88,27,108,0.293,6,,,,,,,"This is a new tier.æ This tier goes from here until Headley.æ I call this tier, ""They've all burned me before but I'm not bitter, thanks to my shrink.""æ My shrink, Dr. Fefferschtepper, says I have to learn to calm myself.æ I have to learn to forgive.æ I need to stop thinking that every time a player fails to leave up to expectations that it's some kind of personal affront to me.æ I have to learn that when a player does live up to expectations after INEXPLICABLY not doing anything the first three months of the season and looking completely turd-bound at the plate, and then going on a barrage of production over the final three months to save their entire season right after I drop them that it's not meant personally.æ That Ryan Zimmerman didn't mean to hit only 5 homers through the end of June, then ten homers in July.æ Well, you could've fooled me, but I'll go on that touchy-feely perception of events and pretend Zimmerman isn't a total jackass sent directly from Planet Screw-Up-Grey with one mission in mind.æ See, how well I've healed?"
28,Edwin,Encarnacion,,1B,87,30,98,0.269,7,,,,,,,"This is a new tier.  This goes from here until Butler.  I call this tier, ""I fully admit that if you don't get Votto or Goldschmidt, you can draft a 1st baseman from anywhere in the next twenty-five names and be relatively fine.""  As for Edwin, the former Blue Jays hitting coach, Dwayne Murphy said this, ""I am the king of all batting and can make a 54-year-old John Olerud a 40-homer hitter if I so choose.  What I have done new batting coach, Chad Mottola, can not undo!""  I'm scarred by Jose Bautista's 2011.  We both know that Bautista was coming off a huge 2010 and pegged by yours truly to collapse in 2011.  Bautista went on to laugh manically while Dwayne Murphy farted in my general direction.  That's why I'm not dropping Encarnacion further than this.  I'm being a bit chicken shizz with this ranking.  There's little chance I draft him this late, but I'm also not telling you to avoid him.  As an immodest landscape architect would say, it's the hedge of all hedges!  By Murphy changing Encarnacion's approach at the plate, it resulted in 12 homers to center field.  He hit 11 homers to center in the previous three years combined.  As long as he doesn't fall back on old habits of pulling everything, he should be a safe bet for 30 homers."
29,David,Wright,,3B,88,24,102,0.286,15,,,,,,,"It was a uncharacteristically warm January day in 2011 when I said David Wright just hit 29 homers in 2010 and now he was ready to take an even bigger step for 2011.æ Well, that worked out great! He's now hit 35 homers over the last two seasons combined or in just over 1100 plate appearances.æ But I'm no longer bitter about that.æ Nor am I bitter that I told everyone to sell him last May to then get grief about it for the next 4 months, even though his production did steadily decline in the final four months.æ Not bitter at all.æ I sound healthy!"
30,Buster,Posey,,"C, 1B",74,25,97,0.309,1,,,,,,,"Anyone familiar with my rankings knows that I always put at least one player right after the top 20 that I don't want any part of.  Well, ma nishtana this post?  No ma nishtana!  This post is the same as past years.  I don't want anything to do with Posey.  The last time everyone was crazy about a catcher in the 2nd round was Joe Mauer after he hit 28 homers.  You probably have a ton of reasons why Mauer is not the same as Posey.  Let me say this, four years ago, you thought Mauer was the King Shizz of Shinola.  You asked your girlfriend to wear a Mauer jersey when you were feeling amorous and then you'd tell people you were calling her, ""Joe,"" like it was a cutesy nickname.  You loved Mauer.  Exactly the same love you now have for Posey.  Do us all a flippin' favor, don't draft a guy you're going to put in your catcher slot in the mother-flippin' second round.  It is the surest recipe for disaster.  Let's go with the assumption that Posey is capable of repeating his MVP season, even if that makes an ass out of u and mption.  His year was 78/24/103/.336/1.  He barely broke 100 RBIs and didn't break 80 runs.  Aside from the batting average, nothing in his line looks exceptional.  Discussion starter:  Is there any chance he's a .336 hitter?  I guess.  He just did it.  He also needed a BABIP thirty points over his career average.  If he hit 25 homers and .300 with those counting stats, we're not even discussing this.  Discussion ender.  You are basically looking at drafting a guy that could give you the power and counting stats over the course of the season that Jay Bruce could give you in four months.  But...BUT Bruce would give you more steals.  You draft Posey, and I'll take Salvador Perez 100 picks later.  Yeah, I said it."
31,Hanley,Ramirez,,"SS, 3B",84,23,95,0.26,20,,,,,,,"I'm done with Hanley until we see a return to his previous glory.  As my saying goes, Hanley is coasting on good vibes and bad farts.  He looked like a surefire Hall of Famer his first five years in the league, but now he's passing off a Skor bar in a photoshopped Heath Bar wrapper.  Who even goes through the trouble of photoshopping a Heath Bar wrapper?  Hanley does, that's who!  He's devious trying to appeal to you.  The Straight Dope Message Boards are saying Hanley retired two years ago and he's been putting a uniform and glove on top of a Roomba.  I think that's stretching the truth.  A Roomba would play better defense.  Anecdotal evidence aside, last year Hanley's K-rate shot up to his career high, his walk rate dropped.  He went from a .400 OBP guy to a .330 OBP guy.  He is no longer a .320 average hitter.  The biggest difference in his peripherals is he hit 30.5% of pitches outside the strike zone last year.  That's a huge difference from his career 24.4%.  That tells me A) He's not waiting for his pitches because he doesn't care.  B) The contact he's making isn't as good as the contact he used to make, so he's hitting dribblers to 2nd base and lazy fly balls.  C) There's no C.  He's a 20/20, .260 hitter.  There's a place for that but it's not where he's probably being drafted. The Dodgers have epic collapse written all over them before they even take the field.  Kershaw, Billingsley, Crawford and Kemp's injuries, then Hanley, A-Gon, Ethier and Beckett... It's all too convenient.  And don't tell me the lineup is going to be great, and Hanley will be a benefactor of that.  I tell you to look at the 2012 Marlins."
32,Starlin,Castro,,SS,92,16,83,0.31,25,,,,,,,"This is a new tier.  This tier goes from here until Rutledge.  I call this tier, ""Shortstops that better not come up short.  Hey, that came up short of clever!""  Starlin's on the precipice (Word of the Day!) of being a top 20 overall player.  He could also take the smallest of steps backwards and be nothing but a top ten shortstop (which isn't terrific).  That's the problem with shortstops, in general, and what I meant by the tier name.  There's very little room for error, which still doesn't help the value of defensive wiz, Brendan Ryan.  Castro's undeniably a middle of the order hitter, which will mean counting stats.  On the flip side, it's the Cubs order.  He's young.  On the flip side, as we saw last year with Justin Upton, young doesn't always mean a step forward.  He has 20-homer power and 30-steal speed.  On the flip side, he can't steal with speed alone.  His caught stealing rate is egregious, with 13 times caught last year in 38 attempts.  His power will peak at 20, but that also means he could hit 12 homers.  A 12-homer, 20-steal guy isn't great.  A 20-homer, 30-steal guy is.  As it reads on the door of a prudish brothel, therein lies the rub."
33,David,Price,,SP,,,,,,16,8,2.9,1.09,210,0,"In case you hadn't heard, David Price received an award this offseason.æ Eh, who cares?æ In that previous mentioned league where I only drafted one starter in the first 100 overall, I drafted Bumgarner.æ Then Latos just after the top 100, then Anibal and then Gio a few rounds later.æ Latos crapped my bed and called it Febreze, Anibal was passable until I dropped him when he was traded, and Gio worked out fine.æ So I had two starters in the first 138 picks and I had 57 out of 60 points.æ Price will be fine again this year; don't draft him, for the love of all things holy, as my bagel store would claim."
34,Jay,Bruce,,OF,95,35,105,0.259,7,,,,,,,"Rudy's working on a H2H master rankings of streakiness.  There's some kinks he still needs to work out.  We were talking on the phone about it -- we talk, y'all! -- and he asked me to name the guys that came in at the top of streakiness.  I said Ty Wigginton, Luke Scott and, of course, Jay Bruce.  I was wrong, wrong and right.  The results might have been skewed slightly for the first two because last year they were just bad without any real streak of good.  Jay Bruce was a no brainer, which is my specialty.  He wasn't at the top of the list, but he's way above average for streakiness.  Keep this in mind if you draft him.  There's gonna be moments, like whole months, where you're wondering why you drafted him.  Then there will be months when you're rappelling to George Washington's eyebrow on Mt. Rushmore, screaming BRUUUUUUUCE!"
35,Shin-Soo,Choo,,OF,108,23,79,0.296,20,,,,,,,"Yes, I more or less want every Reds hitter.  For the last five years (and really every year of its existence), Great American Ballpark has averaged a top five finish for homers allowed.  Draft hitters in good lineups who play in good hitters' parks and pitchers in pitchers' parks and you won't finish worst than third in your fantasy league<sup>1</sup>.  <sup>1</sup>No actual data compiled for that, but it sounds right<sup>2</sup>.  <sup>2</sup>Matthew Berry has made a career of this type of statistical analysis<sup>3</sup>.  <sup>3</sup>I already went over my <a href=""http://razzball.com/choo-on-this-big-red-trade/"">Shin-Shoo Choo 2013 fantasy</a><sup>4</sup>. <sup>4</sup>The Illinois State Fair is fun in theory, but depressing in reality<sup>5</sup>. <sup>5</sup>Not an actual David Foster Wallace footnote but sounds like one."
36,Jason,Heyward,,OF,87,25,94,0.262,10,,,,,,,"He ended last year 12th overall for outfielders, according to our <a href=""http://razzball.com/playerrater/"">Fantasy Baseball Player Rater</a>.  So he basically just needs to repeat last year and be worth this draft pick.  We're good with no step forward or backward for Heyward, you heard?  So let's look at last year to see if he can repeat.  He had 27 homers.  His 16.9 HR/FB% was a tad high, but repeatable.  The rising K-rate and falling walk rate aren't great, but as long as he can maintain those ratios he hits .269 again.  If he takes a small step forward, he hits .280.  His 21 steals last year are the absolute peak.  Chances are he loses at least 5 steals, maybe ten.  In all, I think we're gonna see a small step backwards, but there's a chance for more so I say gamble on him."
